iter	RMSE
250	15679.44732
251	15666.02397
252	15630.60446
253	15594.59437
254	15571.28812
255	15548.80563
256	15517.63279
257	15484.84589
258	15474.67125
259	15447.86427
260	15441.9906
261	15408.39572
262	15374.32237
263	15339.09802
264	15310.4931
265	15260.15744
266	15216.51664
267	15181.11881
268	15139.11005
269	15108.49021
270	15072.01475
271	15040.07823
272	14996.34857
273	14969.11242
274	14956.42335
275	14943.42836
276	14921.88906
277	14897.4516
278	14870.30194
279	14855.33064
280	14844.69658
281	14813.20313
282	14782.99881
283	14748.72927
284	14728.6943
285	14700.61806
286	14666.31071
287	14652.27549
288	14615.9509
289	14577.32119
290	14559.70717
291	14546.15122
292	14514.40997
293	14485.28692
294	14469.77627
295	14442.30943
296	14408.82294
297	14386.6389
298	14352.30844
299	14328.89385
300	14299.01871
301	14263.54208
302	14249.25901
303	14236.84136
304	14206.81599
305	14185.23824
306	14155.87593
307	14133.7654
308	14113.99432
309	14106.75821
310	14078.30397
311	14051.34599
312	14033.59453
313	14006.76529
314	13985.25226
315	13949.94356
316	13927.7025
317	13897.41581
318	13869.56911
319	13848.57154
320	13824.10012
321	13802.03565
322	13771.83473
323	13741.72161
324	13729.86175
325	13708.92686
326	13683.68068
327	13663.08216
328	13636.44211
329	13601.85858
330	13580.49748
331	13562.86956
332	13541.35542
333	13515.28649
334	13497.46933
335	13454.44972
336	13424.82081
337	13397.28696
338	13376.64282
339	13373.24514
340	13353.76049
341	13346.69049
342	13343.73955
343	13318.80284
344	13297.13681
345	13278.11838
346	13259.79112
347	13234.66989
348	13214.59
349	13203.85988
350	13180.58684
351	13163.64409
352	13145.75505
353	13133.06974
354	13130.4305
355	13101.78096
356	13080.46031
357	13044.32919
358	13018.32117
359	12994.64461
360	12982.42537
361	12954.22829
362	12936.26744
363	12920.38752
364	12912.81687
365	12881.77195
366	12865.80473
367	12848.01399
368	12827.87399
369	12804.03665
370	12781.09206
371	12767.78783
372	12743.20641
373	12725.70109
374	12700.62257
375	12675.46625
376	12646.7612
377	12623.6965
378	12609.73234
379	12603.7966
380	12594.86811
381	12577.98728
382	12557.40353
383	12533.41743
384	12504.75531
385	12489.53456
386	12468.08217
387	12442.6184
388	12417.62799
389	12415.21901
390	12397.98155
391	12395.01849
392	12392.26694
393	12368.91748
394	12354.77212
395	12352.3313
396	12336.86385
397	12328.75091
398	12306.35865
399	12283.19993
400	12271.03089
401	12249.19562
402	12241.69322
403	12219.23574
404	12191.42312
405	12163.22775
406	12149.8054
407	12132.38021
408	12111.14085
409	12085.11108
410	12073.11521
411	12070.96235
412	12053.98389
413	12048.84691
414	12024.64444
415	11988.98863
416	11974.31654
417	11947.39279
418	11938.14622
419	11912.63205
420	11900.54005
421	11882.28756
422	11860.17822
423	11840.9356
424	11819.73874
425	11803.72137
426	11786.07585
427	11764.5196
428	11753.93299
429	11733.92744
430	11715.97347
431	11700.22977
432	11677.30381
433	11656.93299
434	11646.16266
435	11644.11267
436	11624.85677
437	11618.86962
438	11600.03469
439	11588.18832
440	11572.78868
441	11557.58047
442	11545.66403
443	11530.91004
444	11517.99985
445	11506.75315
446	11485.89398
447	11468.37216
448	11462.14514
449	11449.05203
450	11430.78316
451	11419.44943
452	11396.36065
453	11379.47662
454	11366.30238
455	11354.45844
456	11349.11633
457	11335.95275
458	11318.21562
459	11315.69755
460	11313.85193
461	11288.02398
462	11278.04278
463	11264.04822
464	11255.85371
465	11237.07314
466	11228.70222
467	11209.61837
468	11207.49677
469	11194.24777
470	11193.21579
471	11166.47885
472	11155.00222
473	11143.10761
474	11127.79976
475	11119.05673
476	11106.435
477	11088.56074
478	11087.57851
479	11071.82132
480	11053.59439
481	11035.47304
482	11029.60965
483	11013.36739
484	10994.62738
485	10982.95375
486	10966.02344
487	10953.52817
488	10937.78847
489	10926.19789
490	10904.58003
491	10903.04349
492	10900.42653
493	10887.26251
494	10882.04743
495	10860.13688
496	10859.25414
497	10844.76189
498	10832.30757
499	10810.73615
500	10788.32785
501	10779.54846
502	10767.15291
503	10765.1248
504	10753.04589
505	10735.45055
506	10731.79434
507	10714.32819
508	10694.76706
509	10679.46147
510	10669.19956
511	10656.94797
512	10648.32334
513	10647.03005
514	10631.84235
515	10622.60732
516	10607.5917
517	10589.03371
518	10571.78542
519	10556.26562
520	10544.80114
521	10529.61863
522	10511.57063
523	10496.44934
524	10480.69158
525	10470.0112
526	10461.99299
527	10451.10766
528	10433.79509
529	10415.47817
530	10393.35304
531	10374.3746
532	10360.45176
533	10359.10476
534	10341.11117
535	10324.01731
536	10313.20041
537	10293.74938
538	10279.93916
539	10268.48235
540	10262.18391
541	10243.09987
542	10240.28362
543	10224.94232
544	10212.51103
545	10200.57321
546	10188.71491
547	10173.24138
548	10151.9191
549	10137.99063
550	10119.35157
551	10108.11921
552	10092.67895
553	10076.53151
554	10069.17485
555	10058.59206
556	10046.51114
557	10025.87608
558	10024.30828
559	10023.06772
560	10012.25507
561	10002.06104
562	9989.903731
563	9982.531233
564	9966.226686
565	9952.562037
566	9935.924517
567	9923.096635
568	9912.115805
569	9903.87245
570	9900.276609
571	9892.354054
572	9874.33204
573	9859.511561
574	9850.899937
575	9840.034216
576	9824.288226
577	9806.342749
578	9787.29483
579	9777.620897
580	9770.976693
581	9757.666614
582	9748.224689
583	9741.847429
584	9731.714185
585	9714.569376
586	9713.783159
587	9705.828119
588	9691.449402
589	9682.908968
590	9669.737054
591	9651.433898
592	9639.212987
593	9626.817947
594	9609.777198
595	9596.795898
596	9579.81343
597	9575.463422
598	9566.474735
599	9561.737102
600	9552.20073
601	9536.422269
602	9516.930639
603	9500.797424
604	9500.048577
605	9491.799319
606	9481.872992
607	9477.55125
608	9466.301635
609	9459.340397
610	9448.615637
611	9432.921302
612	9432.200147
613	9431.486898
614	9412.680172
615	9405.194425
616	9393.842551
617	9383.686791
618	9379.572699
619	9367.285189
620	9357.919991
621	9344.010435
622	9335.87524
623	9326.267549
624	9318.809623
625	9308.375918
626	9298.002228
627	9284.829068
628	9270.335665
629	9258.379974
630	9241.788732
631	9228.061887
632	9206.084613
633	9197.975481
634	9191.465448
635	9182.608077
636	9170.388427
637	9166.067449
638	9154.343364
639	9140.633421
640	9129.751175
641	9125.034236
642	9107.890497
643	9100.739403
644	9090.093482
645	9089.297886
646	9088.349409
647	9081.29293
648	9072.215501
649	9057.571659
650	9043.493343
651	9028.066283
652	9015.402819
653	9003.276519
654	9002.575717
655	8990.441481
656	8972.537846
657	8959.488542
658	8946.230924
659	8936.708299
660	8925.562475
661	8921.505409
662	8919.388605
663	8900.5891
664	8886.265816
665	8880.09112
666	8871.434443
667	8862.390442
668	8852.375508
669	8835.728413
670	8820.893612
671	8806.038015
672	8804.87755
673	8797.489504
674	8790.325676
675	8779.825756
676	8773.516375
677	8764.710543
678	8757.998323
679	8738.781583
680	8731.589805
681	8715.447324
682	8714.484934
683	8713.899401
684	8703.885435
685	8692.342853
686	8681.708518
687	8668.497043
688	8664.516724
689	8655.959644
690	8645.302438
691	8635.623195
692	8626.334747
693	8625.294722
694	8610.581935
695	8600.296332
696	8589.072633
697	8577.221263
698	8567.583931
699	8558.951408
700	8546.68895
701	8543.032245
702	8535.095047
703	8525.90318
704	8517.08256
705	8504.61327
706	8497.371277
707	8488.819673
708	8478.174936
709	8463.115313
710	8456.246699
711	8441.250133
712	8440.640252
713	8440.007159
714	8429.230901
715	8423.94813
716	8419.316337
717	8409.945025
718	8400.127752
719	8386.600583
720	8374.416262
721	8365.725032
722	8354.065087
723	8343.671186
724	8336.515935
725	8323.598691
726	8317.806237
727	8310.851355
728	8299.374571
729	8294.794676
730	8293.781051
731	8293.188851
732	8287.380296
733	8281.465108
734	8272.076129
735	8265.240529
736	8253.326651
737	8247.414423
738	8233.025327
739	8226.294743
740	8219.214886
741	8212.558426
742	8204.488595
743	8195.583897
744	8185.709326
745	8184.849769
746	8184.039101
747	8175.184244
748	8166.45769
749	8159.673032
750	8155.808398
751	8145.528736
752	8130.945362
753	8119.41778
754	8110.754324
755	8101.691706
756	8093.928162
757	8084.548419
758	8079.61697
759	8070.321327
760	8065.454717
761	8058.474105
762	8054.734165
763	8043.046963
764	8036.608558
765	8029.490924
766	8026.161714
767	8021.828645
768	8017.673493
769	8014.047353
770	7996.960962
771	7985.765686
772	7977.734662
773	7968.30886
774	7960.319756
775	7946.344191
776	7937.395788
777	7927.613226
778	7916.046843
779	7905.074095
780	7898.407006
781	7887.86231
782	7887.430465
783	7873.442636
784	7872.465119
785	7868.230614
786	7856.067995
787	7848.371116
788	7841.271004
789	7837.844018
790	7834.596548
791	7826.041362
792	7818.639236
793	7807.069413
794	7798.715051
795	7787.567325
796	7776.077753
797	7768.769402
798	7753.757142
799	7748.119919
800	7733.967742
801	7723.400042
802	7715.795663
803	7710.493708
804	7708.361936
805	7704.23804
806	7700.220064
807	7689.688374
808	7682.503713
809	7677.622719
810	7674.308824
811	7663.704203
812	7656.032974
813	7647.411159
814	7644.755355
815	7634.179496
816	7624.963302
817	7617.906357
818	7611.760875
819	7611.215584
820	7607.094661
821	7603.867329
822	7595.789217
823	7595.358593
824	7588.252991
825	7579.8769
826	7572.170176
827	7565.484849
828	7553.803521
829	7545.498322
830	7540.296351
831	7528.663045
832	7515.064628
833	7506.051189
834	7493.373152
835	7481.771504
836	7474.072613
837	7470.161226
838	7464.372845
839	7462.795563
840	7451.838229
841	7441.347554
842	7429.28208
843	7423.891809
844	7416.724744
845	7409.292099
846	7402.698082
847	7400.219059
848	7393.582389
849	7388.764087
850	7384.048159
851	7378.670303
852	7367.627816
853	7355.819642
854	7349.652805
855	7344.345532
856	7343.57042
857	7334.393486
858	7324.23391
859	7320.430922
860	7314.481221
861	7306.152891
862	7297.960199
863	7287.07186
864	7277.775041
865	7275.257618
866	7274.463563
867	7262.67213
868	7258.599285
869	7250.555949
870	7241.567471
871	7237.129857
872	7223.876784
873	7223.031463
874	7210.982478
875	7210.407005
876	7205.442605
877	7197.744544
878	7186.278984
879	7176.497933
880	7172.016644
881	7160.563016
882	7158.372664
883	7146.352458
884	7136.892117
885	7130.758471
886	7128.877205
887	7120.778815
888	7115.653198
889	7108.307056
890	7104.810292
891	7096.973828
892	7091.879772
893	7084.902945
894	7078.868891
895	7078.383922
896	7075.898984
897	7063.461402
898	7060.40889
899	7051.909149
900	7051.482767
901	7038.146211
902	7032.753695
903	7025.255592
904	7022.421029
905	7014.107699
906	7008.342301
907	6997.846627
908	6995.604927
909	6988.790677
910	6978.626474
911	6969.520288
912	6961.115887
913	6953.955516
914	6942.793177
915	6933.281131
916	6923.815748
917	6919.793519
918	6915.252533
919	6910.201253
920	6903.219816
921	6896.344229
922	6889.458974
923	6882.633836
924	6869.580092
925	6862.255162
926	6853.689174
927	6847.295009
928	6843.917886
929	6835.454426
930	6828.11792
931	6824.290067
932	6817.628997
933	6809.984612
934	6796.507157
935	6783.354714
936	6776.314563
937	6768.834969
938	6765.525926
939	6761.95144
940	6752.034231
941	6742.782933
942	6738.131576
943	6734.666176
944	6724.784229
945	6719.00716
946	6705.653099
947	6702.11711
948	6694.575298
949	6690.73759
950	6685.572893
951	6684.908286
952	6678.376289
953	6675.821682
954	6666.744828
955	6657.027468
956	6651.844808
957	6645.903669
958	6642.647157
959	6631.761668
960	6625.799926
961	6624.074894
962	6620.733522
963	6612.124411
964	6601.376793
965	6590.403963
966	6587.317076
967	6584.346787
968	6576.699769
969	6570.253904
970	6564.542643
971	6560.273778
972	6548.265038
973	6547.294898
974	6542.117977
975	6532.402147
976	6526.057138
977	6522.520612
978	6518.987647
979	6511.601991
980	6506.897034
981	6499.868769
982	6495.373424
983	6486.656314
984	6478.888892
985	6473.458642
986	6459.841813
987	6453.477768
988	6445.379855
989	6438.054092
990	6433.825493
991	6428.817867
992	6422.210883
993	6416.865948
994	6411.339178
995	6410.041649
996	6403.194602
997	6393.521573
998	6385.145246
999	6375.935407
