iter	Passed	Remaining
445	1179	1464
446	1181	1461
447	1183	1458
448	1185	1455
449	1188	1452
450	1190	1449
451	1193	1446
452	1195	1443
453	1198	1440
454	1200	1437
455	1202	1434
456	1204	1431
457	1207	1429
458	1210	1426
459	1213	1424
460	1216	1422
461	1219	1419
462	1222	1418
463	1225	1415
464	1227	1412
465	1230	1410
466	1233	1407
467	1236	1405
468	1238	1402
469	1240	1399
470	1244	1397
471	1246	1394
472	1249	1391
473	1252	1389
474	1254	1386
475	1257	1383
476	1260	1382
477	1263	1379
478	1266	1377
479	1268	1374
480	1271	1371
481	1274	1369
482	1276	1366
483	1280	1365
484	1282	1361
485	1285	1359
486	1289	1358
487	1293	1357
488	1297	1355
489	1299	1352
490	1303	1351
491	1307	1350
492	1311	1348
493	1315	1347
494	1318	1345
495	1321	1342
496	1324	1340
497	1327	1337
498	1329	1334
499	1333	1333
500	1335	1330
501	1338	1327
502	1341	1325
503	1343	1321
504	1346	1319
505	1348	1316
506	1351	1314
507	1354	1312
508	1357	1309
509	1360	1307
510	1362	1303
511	1364	1300
512	1368	1298
513	1370	1296
514	1373	1293
515	1376	1291
516	1378	1288
517	1382	1286
518	1384	1283
519	1387	1280
520	1389	1277
521	1391	1274
522	1394	1271
523	1397	1269
524	1399	1265
525	1401	1263
526	1403	1260
527	1406	1257
528	1408	1254
529	1411	1251
530	1413	1248
531	1416	1245
532	1418	1242
533	1420	1239
534	1422	1236
535	1425	1233
536	1427	1230
537	1430	1228
538	1432	1225
539	1434	1222
540	1437	1219
541	1439	1216
542	1442	1213
543	1444	1210
544	1446	1207
545	1449	1205
546	1451	1202
547	1453	1199
548	1456	1196
549	1458	1193
550	1460	1190
551	1463	1187
552	1465	1184
553	1468	1182
554	1472	1180
555	1476	1178
556	1480	1177
557	1484	1175
558	1486	1172
559	1489	1170
560	1492	1167
561	1494	1164
562	1497	1162
563	1499	1159
564	1502	1156
565	1504	1153
566	1506	1150
567	1509	1147
568	1511	1144
569	1513	1141
570	1516	1138
571	1518	1135
572	1520	1133
573	1523	1130
574	1525	1127
575	1527	1124
576	1529	1121
577	1532	1118
578	1534	1115
579	1537	1113
580	1539	1110
