iter	Logloss
0	0.6825944638
1	0.660077726
2	0.6410667032
3	0.6238149859
4	0.6069139061
5	0.5934283588
6	0.5833695589
7	0.5695192177
8	0.5552758837
9	0.5444071376
10	0.5335603444
11	0.5220202861
12	0.5113054519
13	0.5018901402
14	0.4922758304
15	0.4841159363
16	0.4779281194
17	0.4684901735
18	0.462371742
19	0.4554351518
20	0.4482956566
21	0.4430940159
22	0.4371225188
23	0.4316485631
24	0.4275770466
25	0.4226090744
26	0.4177505261
27	0.4139157679
28	0.4098127133
29	0.4054291062
30	0.4007405591
31	0.3957354317
32	0.3914956368
33	0.3887963757
34	0.3853571622
35	0.3827575746
36	0.3801531508
37	0.3768228236
38	0.3742520615
39	0.3710936053
40	0.369397723
41	0.3659417624
42	0.363419359
43	0.3599148237
44	0.3566100952
45	0.3545220335
46	0.3513651216
47	0.348614543
48	0.3461813883
49	0.3446820865
50	0.3423723951
51	0.3401854769
52	0.3389172612
53	0.3368578074
54	0.335218799
55	0.3331465506
56	0.3303878552
57	0.3281867778
58	0.3258189225
59	0.3241914558
60	0.3212790621
61	0.3191442192
62	0.3173038273
63	0.3144428727
64	0.3127954295
65	0.3114368874
66	0.3108260891
67	0.3095402733
68	0.3070379688
69	0.3053479796
70	0.3040541911
71	0.3032172808
72	0.3013574675
73	0.2990133544
74	0.297616781
75	0.2960610599
76	0.2947721496
77	0.2931751147
78	0.291958889
79	0.2910966099
80	0.2891476388
81	0.2879244441
82	0.286604442
83	0.2850748145
84	0.2837958171
85	0.2822251776
86	0.2810485603
87	0.279856593
88	0.2784170332
89	0.2769557892
90	0.2759894806
91	0.275026423
92	0.2746030328
93	0.2731551688
94	0.2720749415
95	0.2707847217
96	0.2699468777
97	0.2687312815
98	0.2686268588
99	0.2685871182
100	0.267848141
101	0.2668417
102	0.2663927161
103	0.2650520066
104	0.2626576254
105	0.2611478041
106	0.2593812022
107	0.258276616
108	0.2572667966
109	0.2563572232
110	0.254406893
111	0.2537853924
112	0.2528602988
113	0.2517246335
114	0.2511694705
115	0.2507268484
116	0.2497506731
117	0.2489921104
118	0.2480778902
119	0.2470666787
120	0.2457543768
121	0.245051775
122	0.2441255939
123	0.243575479
124	0.2425337926
125	0.2416749383
126	0.2406840901
127	0.239219627
128	0.2380407606
129	0.2371716782
130	0.2361653147
131	0.2353026005
132	0.2345938103
133	0.2339892445
134	0.2335319865
135	0.2329117481
136	0.2322024036
137	0.2315858152
138	0.2307302405
139	0.2303278989
140	0.2288285096
141	0.2281104179
142	0.2274751665
143	0.2267387333
144	0.2257741185
145	0.2251427783
146	0.2244682965
147	0.2234526435
148	0.2231620845
149	0.2227414086
150	0.2217212194
151	0.2207784785
152	0.2200726821
153	0.2191419085
154	0.2182531202
155	0.2174917933
156	0.2169187309
157	0.2160476994
158	0.2154512981
159	0.2144566812
160	0.2139922921
161	0.2131993292
162	0.2123147047
163	0.2115105039
164	0.2107968947
165	0.2101657953
166	0.2097207304
167	0.2091304608
168	0.2086521086
169	0.2077353639
170	0.2070032683
171	0.2064189072
172	0.2058025941
173	0.2054255716
174	0.2048589676
175	0.2038054028
176	0.2027366238
177	0.2015379504
178	0.2010550372
179	0.2003624891
180	0.1999001279
181	0.1991385744
182	0.1982134311
183	0.1973750662
184	0.1963807038
185	0.1958555101
186	0.1953844973
187	0.1947411291
188	0.1940776749
189	0.1935647497
190	0.1929179635
191	0.1915932062
192	0.1915629528
193	0.1908066603
194	0.1902306104
195	0.1895638172
196	0.1885401408
197	0.1876043001
198	0.1872793491
199	0.1866401271
200	0.1860858447
201	0.1846886113
202	0.1840291127
203	0.183341226
204	0.1826805002
205	0.1815712915
206	0.1806831594
207	0.1797146821
208	0.179426026
209	0.1782756202
210	0.1773415061
211	0.1766557992
212	0.175796094
213	0.1752129104
214	0.1745771234
